Id,MSZoning,LotFrontage,LotArea,Street,Utilities,LotConfig,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterCond,Foundation,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,SaleType,SaleCondition,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,CentralAir_N,CentralAir_Y,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_N,PavedDrive_P,PavedDrive_Y
1461,2,80.0,11622,1,0,4,12,1,2,2,5,6,1961,1961,1,0,10,12,0.0,4,1,4,468.0,3,270.0,882.0,0,4,3,896,0,896,0.0,1,0,2,1,5,6,0,1,1961.0,1.0,730.0,3,4,140,0,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
1462,3,81.0,14267,1,0,0,12,2,2,2,6,6,1958,1958,3,0,11,13,108.0,4,1,0,923.0,5,406.0,1329.0,0,4,3,1329,0,1329,0.0,1,1,3,1,6,6,0,1,1958.0,1.0,312.0,3,4,393,36,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
1463,3,74.0,13830,1,0,4,8,2,2,4,5,5,1997,1998,1,0,10,12,0.0,4,2,2,791.0,5,137.0,928.0,0,2,3,928,701,1629,0.0,2,1,3,1,6,6,1,1,1997.0,2.0,482.0,3,4,212,34,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1464,3,78.0,9978,1,0,4,8,2,2,4,6,6,1998,1998,1,0,10,12,20.0,4,2,2,602.0,5,324.0,926.0,0,0,3,926,678,1604,0.0,2,1,3,1,7,6,1,1,1998.0,2.0,470.0,3,4,360,36,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
1465,3,43.0,5005,1,0,4,22,2,2,2,8,5,1992,1992,1,0,6,6,0.0,4,2,0,263.0,5,1017.0,1280.0,0,0,3,1280,0,1280,0.0,2,0,2,1,5,6,0,1,1992.0,2.0,506.0,3,4,0,82,0,8,4,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
1466,3,75.0,10000,1,0,0,8,2,2,4,6,5,1993,1994,1,0,6,6,0.0,4,2,5,0.0,5,763.0,763.0,0,2,3,763,892,1655,0.0,2,1,3,1,7,6,1,1,1993.0,2.0,440.0,3,4,157,84,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1467,3,67.0,7980,1,0,4,8,2,2,2,6,7,1992,2007,1,0,6,6,0.0,2,2,0,935.0,5,233.0,1168.0,0,0,3,1187,0,1187,1.0,2,0,3,1,6,6,0,1,1992.0,2.0,420.0,3,4,483,21,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1468,3,63.0,8402,1,0,4,8,2,2,4,6,5,1998,1998,1,0,10,12,0.0,4,2,5,0.0,5,789.0,789.0,0,2,3,789,676,1465,0.0,2,1,3,1,7,6,1,1,1998.0,2.0,393.0,3,4,0,75,0,8,4,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1469,3,85.0,10176,1,0,4,8,2,2,2,7,5,1990,1990,1,0,6,6,0.0,4,2,2,637.0,5,663.0,1300.0,0,2,3,1341,0,1341,1.0,1,1,2,1,5,6,1,1,1990.0,2.0,506.0,3,4,192,0,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
1470,3,70.0,8400,1,0,0,12,2,2,2,4,5,1970,1970,1,0,8,9,0.0,4,1,0,804.0,4,0.0,882.0,0,4,3,882,0,882,1.0,1,0,2,1,4,6,0,1,1970.0,2.0,525.0,3,4,240,0,0,8,4,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
